PHRASE: eileen m _nytCount: 6 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: m collins _nytCount: 6 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: research projects _nytCount: 6 _historyStories.size(): 10 _mentions: 11        _unique stories: 2
PHRASE: booster rocket _nytCount: 7 _historyStories.size(): 10 _mentions: 10        _unique stories: 2
PHRASE: billion lightyears _nytCount: 8 _historyStories.size(): 10 _mentions: 10        _unique stories: 2
PHRASE: nasa space _nytCount: 8 _historyStories.size(): 10 _mentions: 10        _unique stories: 1
PHRASE: first woman _nytCount: 10 _historyStories.size(): 10 _mentions: 11        _unique stories: 0
PHRASE: john e _nytCount: 13 _historyStories.size(): 10 _mentions: 10        _unique stories: 0
PHRASE: astronaut john _nytCount: 13 _historyStories.size(): 10 _mentions: 11        _unique stories: 0
PHRASE: first american _nytCount: 15 _historyStories.size(): 10 _mentions: 11        _unique stories: 0
PHRASE: cassini spacecraft _nytCount: 34 _historyStories.size(): 10 _mentions: 11        _unique stories: 1
PHRASE: war ii _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: j weiler _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: xray astrophysics _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 1
PHRASE: nasa programs _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 1
PHRASE: technology program _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: f james _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: satellite data _nytCount: 2 _historyStories.size(): 9 _mentions: 11        _unique stories: 1
PHRASE: laboratory pasadena _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: susan j _nytCount: 2 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: world war _nytCount: 3 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: challenger accident _nytCount: 3 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: house officials _nytCount: 3 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: yuri n _nytCount: 3 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: space activities _nytCount: 4 _historyStories.size(): 9 _mentions: 9        _unique stories: 2
PHRASE: research laboratory _nytCount: 5 _historyStories.size(): 9 _mentions: 11        _unique stories: 0
PHRASE: russian mission _nytCount: 5 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: agency officials _nytCount: 6 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: government agencies _nytCount: 6 _historyStories.size(): 9 _mentions: 9        _unique stories: 2
PHRASE: first spacecraft _nytCount: 7 _historyStories.size(): 9 _mentions: 9        _unique stories: 3
PHRASE: deputy administrator _nytCount: 7 _historyStories.size(): 9 _mentions: 11        _unique stories: 1
PHRASE: nasa astronauts _nytCount: 7 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: cassini mission _nytCount: 8 _historyStories.size(): 9 _mentions: 10        _unique stories: 0
PHRASE: russian mir _nytCount: 10 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: stanford university _nytCount: 10 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
